KAYLEE,DERRIAL,INARA,JAYNE,MALCOLM,RIVER,SIMON,WASH,ZOE
C,F,R,Y,M,R,R,G,C,L,J,E,K,V,O
W,G,H,U,Y,F,Z,R,A,Y,A,O,Y,B,H
C,N,I,M,K,B,I,I,N,T,Y,Z,K,T,P
H,Q,U,N,R,V,R,L,Z,N,N,L,B,J,V
F,Y,L,R,E,R,K,A,Y,L,E,E,O,I,G
N,N,D,R,E,Y,K,H,Y,P,S,A,I,D,C
Y,N,T,D,N,O,M,I,S,T,W,G,F,U,U
I,R,U,Z,S,T,F,R,U,A,Y,B,X,D,T
P,N,Z,D,G,R,E,S,H,O,W,M,U,W,S
B,J,A,V,H,D,C,N,P,C,M,L,X,G,C
Z,D,P,R,B,S,D,T,Y,V,T,O,F,Q,U
A,H,F,X,A,J,A,P,Q,V,A,C,K,W,M
S,V,J,P,J,B,O,W,W,J,W,L,S,Y,A
Q,O,A,Z,H,F,O,J,R,Y,B,A,S,A,R
N,O,B,I,S,W,T,Q,X,C,V,M,G,W,H
